,name,main_category,sub_category,image,link,ratings,no_of_ratings
1301,MELAS ALFA CREAM PACK OF 3 PCS,beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51Gvz1uHQjL._AC_UL320_.jpg,https://www.amazon.com/Melas-MELAS-ALFA-CREAM/dp/B09GVSCYTV/ref=sr_1_14982?qid=1679215065&s=beauty&sr=1-14982,3.9,33
1299,AONES Pack of 3 Metal Chain Belt & Silicone Watch Strap Compatible for Fossil Gen 4 Explorist Hr Watch Strap Black,kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61KkGix+aNL._AC_UL320_.jpg,https://www.amazon.com/AONES-Silicone-Compatible-Fossil-Explorist/dp/B0BPTCDKH8/ref=sr_1_9220?qid=1679221305&s=apparel&sr=1-9220,,
546,CP PLUS 4MP Wi-fi Full Color Outdoor Smart Security Camera | 360˚ with Pan & Tilt | Two Way Talk | Human Detection | Night...,"tv, audio & cameras",Cameras,https://m.media-amazon.com/images/I/31eWSwHrI3L._AC_UL320_.jpg,https://www.amazon.com/CP-PLUS-Security-Detection-Supports/dp/B0BQVQQV47/ref=sr_1_553?qid=1679129950&s=electronics&sr=1-553,3.4,11
7434,Toniq Beach Vacation Enameled Hoops Earring Jewellery Set (6 Pairs),accessories,Fashion & Silver Jewellery,https://m.media-amazon.com/images/I/61AluSgKh7L._AC_UL320_.jpg,https://www.amazon.com/Toniq-Vacation-Enameled-Earring-Jewellery/dp/B09W17L2RK/ref=sr_1_7443?qid=1679160195&s=jewelry&sr=1-7443,,
293,Voltas 2 Ton 4 Star Inverter Split Copper Condenser Air Conditioner(VOLTAS SPLIT AC 244V EAZS - White),appliances,Air Conditioners,https://m.media-amazon.com/images/I/317MrGHeUhL._AC_UL320_.jpg,https://www.amazon.com/Voltas-VOLTAS-SPLIT-244V-EAZS/dp/B0BG2H5QZ2/ref=sr_1_297?qid=1679134253&s=kitchen&sr=1-297,,
11476,Avsar 18k (750) Yellow Gold and Diamond Pendant for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Bd++c+0-L._AC_UL320_.jpg,https://www.amazon.com/Avsar-Yellow-Diamond-Pendant-Women/dp/B07QZH5WHW/ref=sr_1_11481?qid=1679159653&s=jewelry&sr=1-11481,,
12465,STYLACLUE Sleeveless Cotton Nighty for Women XL,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/81P9blYeueL._AC_UL320_.jpg,https://www.amazon.com/STYLACLUE-Sleeveless-Cotton-Nighty-Women/dp/B0BWV8BGB4/ref=sr_1_12474?qid=1679155321&s=apparel&sr=1-12474,,
5583,"KEBILSHOP DC Y Splitter Cable 1 Male to 2 Female,5.5mm x 2.1mm DC Power Extension Adapter Cable,for CCTV Surveillance Came...","tv, audio & cameras",Cameras,https://m.media-amazon.com/images/I/510zugdOoZL._AC_UL320_.jpg,https://www.amazon.com/KEBILSHOP-Female-Splitter-Adapter-Accessories/dp/B08X7K9P1J/ref=sr_1_5590?qid=1679130244&s=electronics&sr=1-5590,4.1,81
8075,ADDIZ Regular Fit Casual T-Shirts for Men's (Pack of 2),men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/51GXJv9HzWL._AC_UL320_.jpg,https://www.amazon.com/ADDIZ-Regular-Casual-T-Shirts-Green/dp/B0B2WZHD3P/ref=sr_1_8080?qid=1679140236&s=apparel&sr=1-8080,,
4296,GM Air Deco Ceiling Fan Gold 1200MM High Speed 400 RPM Powerful Motor Closed Double Ball Bearing Superior Air Delivery Saf...,appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61JZz67qzsL._AC_UL320_.jpg,https://www.amazon.com/GM-Deco-Ceiling-1200mm-Gold/dp/B09QCSWBLR/ref=sr_1_4300?qid=1679134724&s=kitchen&sr=1-4300,4.2,6
9105,WOMEN MARKS WOMEN'S SLING BAG,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/61MZkOqxadL._AC_UL320_.jpg,https://www.amazon.com/WOMEN-MARKS-WOMENS-SLING-BAG/dp/B08YF55P8Q/ref=sr_1_9114?qid=1679144196&s=luggage&sr=1-9114,4,136
18943,"DAMAYA Traditional Silver Oxidised Jhumka Earrings for Women, Perfect for Parties, Festivals & Weddings Antique Design Dro...",accessories,Fashion & Silver Jewellery,https://m.media-amazon.com/images/I/81zULcmoTmL._AC_UL320_.jpg,https://www.amazon.com/Damaya-Traditional-Earrings-Festivals-Accessories/dp/B09X2XXY65/ref=sr_1_19048?qid=1679160609&s=jewelry&sr=1-19048,4.3,46
189,TNIU 40L Men Women Trekking Backpack Mountaineering Bag Outdoor Travel Tent Backpack for Camping Hiking Backpack,bags & luggage,Rucksacks,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81ehKPqsRsL._AC_UL320_.jpg,https://www.amazon.com/TNIU-Trekking-Backpack-Mountaineering-Outdoor/dp/B0BNNBWTDY/ref=sr_1_1822?qid=1679218730&s=luggage&sr=1-1822,,
618,Candere by Kalyan Jewellers 10.40 Gms 24k (999) Yellow Gold Lakshmi gold coin Pendant for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/I/61srEqnxftL._AC_UL320_.jpg,https://www.amazon.com/Candere-Kalyan-Jewellers-Lakshmi-Pendant/dp/B083SRF53H/ref=sr_1_627?qid=1679159258&s=jewelry&sr=1-627,3.9,5
6210,Nelle Harper Women's Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81TPrIS-gRL._AC_UL320_.jpg,https://www.amazon.com/Nelle-Harper-Womens-Western-Black/dp/B0B3R22XMK/ref=sr_1_6219?qid=1679158800&s=shoes&sr=1-6219,3.5,5
3528,Royal Son Over-sized UV Protection Women Sunglasses,women's clothing,Clothing,https://m.media-amazon.com/images/I/61hO6murBiS._AC_UL320_.jpg,https://www.amazon.com/Royal-Over-sized-Protection-Women-Sunglasses/dp/B096MTJK8T/ref=sr_1_3537?qid=1679152869&s=apparel&sr=1-3537,4,75
