country,country_code,continent,indicator,total_sales,product_id,date
Canada,CA,North America,sale price,5,B0BW8J7Q2M,2022-05-21
Canada,CA,North America,sale price,5,B09HRR92VD,2022-12-23
Canada,CA,North America,sale price,2,B09BJT6R2S,2022-04-10
Canada,CA,North America,sale price,3,B09J2SWX3W,2022-12-03
Canada,CA,North America,sale price,2,B0BSC163CC,2022-04-25
Canada,CA,North America,sale price,4,B0BFBFCVZC,2022-10-07
Canada,CA,North America,sale price,5,B09RB35NRQ,2022-11-20
Canada,CA,North America,sale price,5,B0BY8WHR3V,2022-06-12
Canada,CA,North America,sale price,5,B08X3RV9F1,2022-04-01
Canada,CA,North America,sale price,6,B0BFBFCVZC,2022-05-02
Canada,CA,North America,sale price,6,B08XQ999V3,2022-08-21
Canada,CA,North America,sale price,6,B07C5MHKB3,2022-11-11
Canada,CA,North America,sale price,4,B0B7DVQ6H5,2022-08-25
Canada,CA,North America,sale price,2,B0BR47QJBF,2022-03-01
Canada,CA,North America,sale price,2,B0BJKQ26L2,2022-08-15
Canada,CA,North America,sale price,2,B084KWKX2X,2022-01-11
Canada,CA,North America,sale price,4,B09W9FJSLM,2022-08-17
Canada,CA,North America,sale price,3,B09GL1TSW6,2022-05-27
Canada,CA,North America,sale price,4,B07PS37YZR,2022-01-17
Canada,CA,North America,sale price,5,B07X64XSLP,2022-06-18
Canada,CA,North America,sale price,5,B09WRRJ2T2,2022-03-19
Canada,CA,North America,sale price,5,B09GM7HMYK,2022-01-04
Canada,CA,North America,sale price,7,B0BB7QKXST,2022-10-30
Canada,CA,North America,sale price,5,B074W25MY9,2022-04-12
Canada,CA,North America,sale price,6,B07PS37YZR,2022-05-31
Canada,CA,North America,sale price,4,B093Y7Z673,2022-12-11
Canada,CA,North America,sale price,7,B07NVPDD13,2022-07-09
Canada,CA,North America,sale price,2,B075SSHVQK,2022-03-01
Canada,CA,North America,sale price,5,B0B7XF38T8,2022-02-15
Canada,CA,North America,sale price,4,B09DKS2Y6R,2022-06-04
Canada,CA,North America,sale price,5,B07HMZJQ3Q,2022-11-01
Canada,CA,North America,sale price,4,B09SDB9L2S,2022-11-22
Canada,CA,North America,sale price,1,B09TFJYZPT,2022-12-19
Canada,CA,North America,sale price,3,B07WLY5TXH,2022-03-11
Canada,CA,North America,sale price,5,B0753NTN31,2022-01-29
Canada,CA,North America,sale price,4,B01N0TH18I,2022-05-10
Canada,CA,North America,sale price,3,B09PZYJDGB,2022-04-27
Canada,CA,North America,sale price,5,B09H55MVNG,2022-10-12
Canada,CA,North America,sale price,2,B07NNTLYWT,2022-11-14
Canada,CA,North America,sale price,2,B07C5MHKB3,2022-08-06
Canada,CA,North America,sale price,5,B09BJT6R2S,2022-01-22
Canada,CA,North America,sale price,1,B07TPBJNZB,2022-03-14
Canada,CA,North America,sale price,1,B0BTYRLWBY,2022-07-18
Canada,CA,North America,sale price,1,B0B7WQKR9V,2022-08-01
Canada,CA,North America,sale price,6,B06XDH1HQX,2022-01-16
Canada,CA,North America,sale price,5,B0BRVK2MCT,2022-02-04
Canada,CA,North America,sale price,3,B07XV7JYGP,2022-02-02
Canada,CA,North America,sale price,6,B097Q31N7P,2022-11-15
Canada,CA,North America,sale price,2,B07JZY8XVV,2022-08-15
Canada,CA,North America,sale price,4,B09DKLHVRB,2022-04-17
